Name,Address,Pets,Strikes,Withdrawls,Fixed Status,Income Qualification,Overall Qualification
Kayla Alberts,false,3,0,2,false,222 Greenview Lane
Kaylie Balson,true,4,0,3,true,1125 Tree Lan
Gill Bill,true,1,0,2,false,2222 Two St.
David Bowers,true,1,0,1,true,980 Junipfger St
Albert Brown,true,1,0,1,true,2222 Steele Avenue
Wayne Buck,true,0,0,1,true,785 Gilroy Ave
Randy Crookshanks,true,1,0,2,true,1132 Francine Ave
Joseph Davi,true,2,0,5,true,3342 Venus Ave
Rich David,true,0,0,1,true,554 Moon Dr
David Davidson,true,0,0,1,true,5543 Golroy ave
Kalan Davidson,true,3,0,3,true,3345 Pine Avenue
John Doe,true,0,0,2,true,51 Cherry Street Wakefield
Richard Donalds,true,2,0,2,true,222 Greeville Ave
Donald Donalds,true,1,0,1,true,6554 Brnas Ave
Albert Donaldson,true,1,0,1,true,County Road 4
Angel Donaldson,true,0,0,1,true,2232 Golf Rd.
Donald Figs,true,1,0,1,true,664 Godfrey ln. 
Gaby Flynn,true,0,0,1,true,1114 Garnder Ave
Bill Flynn,true,4,0,2,true,2232 Oregon St
Dane Furgeson,true,0,0,1,true,3322 Maple Ave
Maxo Galls,true,0,0,1,true,1114 Branson ave
John Gilbert,false,1,0,1,false,1123 Ave
John Gilbert,true,0,0,1,true,1213 sdfksfna
John Gilbert,true,1,0,2,true,3342 Nepturne Ave
John Gilbert,true,1,0,2,true,3342 Nepturne Ave
Henry Gillis,true,1,0,1,true,2332 V Road
Henry Gillis,true,1,0,1,true,2332 V Road
Joe Hester,true,1,0,3,true,34 sdfsf asd
Patty Jenkins,true,1,0,1,true,2232 Winterset Lane
Dave John,true,1,0,2,true,112 Dunbar St
dave John34,true,1,0,2,true,112 FAS St
John Johnson,true,0,0,2,true,1121 Johnson Ave
Joseph Johnsons,true,0,0,2,true,443 Davy Lane
Jason Landis,true,0,0,1,true,1120 Marilissa Ln.
Terry Mann,true,1,0,1,true,421 Amherst Ave Frankfort
Thomas Marquez,true,1,0,2,true,null
Loki Maxwell,false,2,0,2,true,887 Gonly St.
Elmo McGee,false,2,0,1,false,620 Linden Road Bristow
Duncan McGee,true,1,0,2,true,1125 Taylore lane
Greg Miller,true,2,0,3,true,5566 Satrun Dr
Dan Moquin,true,0,0,1,false,445 Albert St
New Owner,false,1,0,1,false,New Address
Kate Phillips,true,0,0,1,false,null
Dave Richards,false,1,0,1,true,Pinewood Road
Paul Richards,false,2,0,2,true,null
Mawell Richardson,true,0,0,1,true,665 Ash Ave
Joel Sanders,true,1,0,1,true,653 Simple Ridge Lane
Johan Williams,true,1,0,2,true,667 Francis Ave
Joan Williamson,true,1,0,2,true,667 Francis Ave
